Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0805_2012Metric,79.248,-84.582,-90.0,top
C2,18p,C_0603_1608Metric,79.502,-88.138,-90.0,top
C3,0.1u,C_0603_1608Metric,79.502,-81.28,90.0,top
C4,18p,C_0603_1608Metric,79.502,-95.504,-90.0,top
C5,1u,C_0603_1608Metric,82.296,-109.982,-90.0,top
C6,0.1u,C_0603_1608Metric,88.646,-109.982,90.0,top
C7,0.1u,C_0603_1608Metric,88.646,-105.029,90.0,top
C8,1u,C_0805_2012Metric,79.756,-110.49,0.0,top
C9,1u,C_0805_2012Metric,79.756,-104.394,0.0,top
D1,1N5819WS,D_SOD-323,97.25,-117.7,-90.0,top
D2,1N5819WS,D_SOD-323,80.55,-117.75,-90.0,top
FB1,500mA?,L_0603_1608Metric,97.4,-114.55,90.0,top
FB2,500mA?,L_0603_1608Metric,80.75,-114.6,90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,94.488,-124.714,0.0,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,83.312,-124.714,0.0,top
Q1,Q_NPN_BCE,SOT-23,86.233,-105.41,90.0,top
Q2,Q_NPN_BCE,SOT-23,86.233,-109.474,90.0,top
R1,5.1k,R_0603_1608Metric,99.06,-114.3,-90.0,top
R2,5.1k,R_0603_1608Metric,99.06,-117.348,90.0,top
R3,5.1k,R_0603_1608Metric,78.74,-117.856,90.0,top
R4,5.1k,R_0603_1608Metric,78.74,-114.808,-90.0,top
R5,10k,R_0603_1608Metric,82.296,-104.902,-90.0,top
R6,10k,R_0603_1608Metric,83.82,-109.982,-90.0,top
R7,10k,R_0603_1608Metric,83.82,-104.902,-90.0,top
SW1,SW_Push,SW_SPST_B3U-1000P,90.678,-115.951,-90.0,top
SW2,SW_Push,SW_SPST_B3U-1000P,87.122,-115.951,-90.0,top
U1,USBLC6-2SC6,SOT-23-6,83.312,-115.824,-90.0,top
U2,USBLC6-2SC6,SOT-23-6,94.488,-115.824,-90.0,top
U3,ESP32-S3-WROOM,ESP32-S3-WROOM-1,90.043,-87.556,0.0,top
U4,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,94.615,-107.442,90.0,top
U5,XC6210B332MR,SOT-23-5,79.756,-107.442,90.0,top
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,79.134,-91.821,-90.0,top
